925 854741, [397, 2153]
926 856591, [263, 3257]
927 858443, [131, 6553]
929 862153, [71, 12143]
938 878947, [47, 18701]
941 884581, [911, 971]
943 888347, [41, 47, 461]
944 890233, [41, 21713]
945 892121, [43, 20747]
948 897797, [43, 20879]
951 903491, [53, 17047]
952 905393, [709, 1277]
956 913021, [313, 2917]
957 914933, [409, 2237]
958 916847, [53, 17299]
960 920681, [647, 1423]
963 926447, [97, 9551]
964 928373, [773, 1201]
967 934163, [577, 1619]
972 943853, [61, 15473]
973 945797, [197, 4801]
978 955547, [97, 9851]
979 957503, [367, 2609]
981 961421, [61, 15761]
982 963383, [647, 1489]
983 965347, [179, 5393]
984 967313, [41, 23593]
985 969281, [41, 47, 503]
987 973223, [179, 5437]
988 975197, [43, 22679]
989 977173, [71, 13763]
990 979151, [47, 83, 251]
991 981131, [43, 22817]
996 991061, [373, 2657]
998 995047, [197, 5051]
1000 999041, [71, 14071]
1002 1003043, [971, 1033]
1003 1005047, [83, 12109]
1004 1007053, [53, 19001]
1007 1013083, [607, 1669]
1009 1017113, [113, 9001]
1010 1019131, [379, 2689]
1011 1021151, [53, 19267]
1018 1035347, [227, 4561]
1019 1037383, [251, 4133]
1022 1043503, [439, 2377]
1024 1047593, [347, 3019]
1025 1049641, [41, 25601]
1026 1051691, [41, 113, 227]
1027 1053743, [173, 6091]
1028 1055797, [503, 2099]
1030 1059911, [821, 1291]
1031 1061971, [43, 24697]
1032 1064033, [47, 22639]
1033 1066097, [61, 17477]
1034 1068163, [43, 24841]
1037 1074373, [47, 22859]
1039 1078523, [131, 8233]
1040 1080601, [419, 2579]
1042 1084763, [61, 17783]
1043 1086847, [787, 1381]
1047 1095203, [151, 7253]
1050 1101491, [173, 6367]
1056 1114121, [419, 2659]
1057 1116233, [53, 21061]
1058 1118347, [131, 8537]
1059 1120463, [347, 3229]
1060 1122581, [71, 97, 163]
1061 1124701, [397, 2833]
1064 1131073, [53, 21341]
1065 1133201, [1033, 1097]
1066 1135331, [41, 27691]
1067 1137463, [41, 27743]
1068 1139597, [151, 7547]
1069 1141733, [307, 3719]
1070 1143871, [457, 2503]
1071 1146011, [71, 16141]
1072 1148153, [547, 2099]
1073 1150297, [83, 13859]
1074 1152443, [43, 26801]
1075 1154591, [97, 11903]
1077 1158893, [43, 26951]
1079 1163203, [47, 24749]
1081 1167521, [307, 3803]
1084 1174013, [47, 24979]
1085 1176181, [167, 7043]
1086 1178351, [83, 14197]
1087 1180523, [167, 7069]
1089 1184873, [409, 2897]
1092 1191413, [199, 5987]
1093 1193597, [877, 1361]
1094 1195783, [61, 19603]
1097 1202353, [739, 1627]
1098 1204547, [199, 6053]
1102 1213343, [223, 5441]
1103 1215547, [61, 19927]
1107 1224383, [41, 29863]
1108 1226597, [41, 29917]
1109 1228813, [281, 4373]
1110 1231031, [53, 23227]
1113 1237697, [829, 1493]
1117 1246613, [43, 53, 547]
1120 1253321, [43, 29147]
1121 1255561, [739, 1699]
1122 1257803, [113, 11131]
1126 1266791, [47, 26953]
1128 1271297, [673, 1889]
1129 1273553, [223, 5711]
1130 1275811, [1097, 1163]
1131 1278071, [47, 71, 383]
1139 1296223, [113, 11471]
1140 1298501, [281, 4621]
1142 1303063, [71, 18353]
1143 1305347, [653, 1999]
1148 1316797, [41, 32117]
1149 1319093, [41, 32173]
1155 1332911, [61, 21851]
1156 1335221, [83, 16087]
1157 1337533, [97, 13789]
1158 1339847, [661, 2027]
1160 1344481, [43, 31267]
1161 1346801, [499, 2699]
1162 1349123, [179, 7537]
1163 1351447, [43, 53, 593]
1164 1353773, [61, 22193]
